Day,P5,P25,P50,P75,P95
112,309.60005710259026,312.9147436103782,315.0488881696999,317.12521425218205,320.29889712580865
113,309.52676722448376,312.89618379393426,314.9719486344479,317.12876233413675,320.3552364861874
114,309.43068165557753,312.9304068417457,315.036286159524,317.2286711078457,320.4282481706755
115,309.60645599257623,312.8874303115126,315.0443539165026,317.23114301664964,320.49392085025966
116,309.522100677851,312.8880627130381,314.936782853918,317.28680122956314,320.2503575836409
117,309.4321822149769,313.00872449786567,315.0413613580847,317.2112124453713,320.47826117180097
118,309.50489458599066,312.8771751805856,314.98796932836683,317.253358478219,320.42311619043994
119,309.52947919083124,312.92660296790024,315.0715680102842,317.17460172892993,320.31144448791116
120,309.48052180091736,312.95581933446647,315.1070857769089,317.21714284382483,320.4419363969623
121,309.71239471347224,312.9851756700179,315.09124070575865,317.36615288041105,320.43089086688013
122,309.53454343856384,312.8924912375184,315.13820552641164,317.3014635081906,320.3502854706186
123,309.47653706130785,312.94296325683047,315.06368362423365,317.3595255929105,320.3086433688358
124,309.44509824324615,312.982595073359,315.0750772272927,317.35474710991923,320.3748166454245
125,309.4083241989546,313.0337960708406,315.1542854751409,317.3440851501415,320.39714439868317
126,309.3824505125148,312.9883348281299,315.2446131199405,317.3991150504242,320.45474881224663
127,309.3896058409199,312.9762770615157,315.1567866203429,317.42553401648627,320.55673724363095
128,309.4106957453841,312.9698389269778,315.2249088841269,317.32186487283786,320.7655584742603
129,309.3324277431564,312.8827698171319,315.2477615209783,317.36072020899843,320.7890523825698
130,309.3617524064278,312.8983368997892,315.24798924955707,317.4035025299913,320.87429402295334
131,309.4766364762072,312.88865561635936,315.19249629506555,317.35396768786643,320.8048870795708
132,309.4771914261954,312.9654170912123,315.25237115358067,317.33182524708445,320.9480575434328
133,309.34416019277916,313.06727154643005,315.22808740546213,317.4245049214237,320.9164899770666
134,309.3181370595599,312.92473686307693,315.193093144318,317.50834778391254,320.89483997483745
135,309.3434994406977,312.9888413624789,315.0670658172245,317.50693092509573,320.83324685184334
136,309.0833897473129,312.80520330651035,315.28852423466435,317.56994461605404,320.823834771803
