Date,JPM,V,MA,PYPL,XYZ,COIN,HOOD,AFRM
2023-12-19,159.57069396972656,255.67091369628906,419.25506591796875,62.67491149902344,77.30999755859375,161.16000366210938,13.170000076293945,50.459999084472656
2023-12-20,157.7708282470703,252.83872985839844,413.3230895996094,61.41166687011719,76.11000061035156,161.86000061035156,12.619999885559082,45.5099983215332
2023-12-21,158.67074584960938,255.2283935546875,417.2547912597656,61.72996520996094,76.9000015258789,168.02999877929688,12.890000343322754,47.939998626708984
2023-12-22,158.57601928710938,254.13685607910156,417.9051513671875,61.51113510131836,77.13999938964844,175.47999572753906,12.949999809265137,49.060001373291016
2023-12-26,159.5138397216797,254.85470581054688,417.4814147949219,62.22731018066406,78.18000030517578,172.0500030517578,12.9399995803833,50.040000915527344
2023-12-27,160.4706268310547,254.6284637451172,418.1612854003906,62.3466682434082,79.5999984741211,185.24000549316406,13.260000228881836,51.2400016784668
2023-12-28,161.32315063476562,256.0740661621094,420.0926513671875,62.74454116821289,79.51000213623047,186.36000061035156,13.180000305175781,51.38999938964844
2023-12-29,161.1337127685547,256.0249328613281,420.2799072265625,61.08342361450195,77.3499984741211,173.9199981689453,12.739999771118164,49.13999938964844
2024-01-02,163.0093231201172,254.56954956054688,415.7273864746094,61.133155822753906,72.22000122070312,156.8800048828125,12.369999885559082,46.599998474121094
2024-01-03,162.29888916015625,253.6943359375,412.65301513671875,58.318206787109375,68.62999725341797,152.24000549316406,11.789999961853027,43.4900016784668
2024-01-04,163.37591552734375,255.2971954345703,413.6383056640625,58.139163970947266,68.1500015258789,155.60000610351562,11.979999542236328,42.5
2024-01-05,164.1956024169922,255.3759002685547,413.2934875488281,59.8002815246582,66.95999908447266,153.97999572753906,11.890000343322754,43.0099983215332
2024-01-08,163.9573211669922,258.1785888671875,416.4714660644531,61.41166687011719,69.30999755859375,159.4199981689453,12.420000076293945,45.34000015258789
2024-01-09,162.66107177734375,258.9554138183594,417.0833740234375,60.725337982177734,69.52999877929688,151.99000549316406,12.199999809265137,44.06999969482422
2024-01-10,163.0041961669922,260.16497802734375,422.6793212890625,60.63581466674805,67.9000015258789,151.2899932861328,12.140000343322754,43.560001373291016
2024-01-11,162.3179168701172,259.6437683105469,421.14959716796875,61.023738861083984,67.87000274658203,141.16000366210938,11.710000038146973,42.810001373291016
2024-01-12,161.12652587890625,259.7815246582031,423.49847412109375,60.675601959228516,66.4800033569336,130.77999877929688,11.020000457763672,41.790000915527344
2024-01-16,160.1162109375,260.8336486816406,422.75830078125,58.139163970947266,65.16000366210938,133.8800048828125,10.930000305175781,40.97999954223633
2024-01-17,159.25840759277344,262.2005615234375,421.8404541015625,59.57150650024414,63.900001525878906,133.86000061035156,10.649999618530273,41.0099983215332
2024-01-18,159.5729217529297,263.6855163574219,425.09735107421875,61.75980758666992,64.47000122070312,124.33999633789062,10.670000076293945,40.13999938964844
2024-01-19,162.32745361328125,266.3996276855469,431.0782775878906,65.46996307373047,65.8499984741211,124.75,10.710000038146973,42.17499923706055
2024-01-22,162.13685607910156,266.6947021484375,434.00946044921875,63.401031494140625,66.69000244140625,128.2100067138672,10.989999771118164,44.349998474121094
2024-01-23,161.06935119628906,266.753662109375,433.03240966796875,64.43550109863281,66.19999694824219,124.19000244140625,10.949999809265137,41.880001068115234
2024-01-24,162.50856018066406,267.1371765136719,432.97320556640625,62.68486022949219,62.56999969482422,121.33999633789062,10.8100004196167,40.4900016784668
2024-01-25,164.83421325683594,268.08123779296875,431.0979919433594,60.387142181396484,62.709999084472656,121.01000213623047,10.699999809265137,40.709999084472656
2024-01-26,164.2051239013672,263.4888610839844,432.8053894042969,61.45145034790039,64.97000122070312,125.19999694824219,10.789999961853027,41.34000015258789
2024-01-29,164.634033203125,269.11383056640625,434.8285827636719,63.420921325683594,68.9800033569336,132.82000732421875,11.3100004196167,43.77000045776367
2024-01-30,168.0081329345703,272.54583740234375,439.37847900390625,63.341346740722656,68.22000122070312,130.82000732421875,11.010000228881836,42.72999954223633
2024-01-31,166.18765258789062,268.7204895019531,443.3657531738281,61.023738861083984,65.01000213623047,128.1999969482422,10.739999771118164,40.5099983215332
2024-02-01,165.58717346191406,272.44744873046875,454.9031066894531,61.69017791748047,66.66999816894531,128.9499969482422,10.90999984741211,39.66999816894531
2024-02-02,166.540283203125,272.5753479003906,454.5675048828125,62.08804702758789,67.87999725341797,129.22000122070312,10.920000076293945,41.0099983215332
2024-02-05,166.32107543945312,271.0019226074219,450.7974548339844,61.212730407714844,65.8499984741211,117.30000305175781,10.5600004196167,41.54999923706055
2024-02-06,166.8929443359375,272.162353515625,454.4886169433594,63.37118911743164,67.0,119.79000091552734,10.779999732971191,43.43000030517578
2024-02-07,167.2074737548828,274.7486572265625,455.88018798828125,62.90369415283203,68.30999755859375,122.06999969482422,11.0,44.61000061035156
